source_name,target_name,confidence
nikR,decoy7,0.9993438124656677
rpoN,nsrR,0.8939306139945984
glpR,feoC,0.9999911785125732
decoy30,ydeM,0.981514036655426
yddM,yciT,0.9988592863082886
yddM,feoC,0.9999853372573853
yidL,feoC,0.9999842643737793
yphH,idnR,0.9717077016830444
purR,frlR,0.9712855815887451
yiiE,feoC,0.9902065396308899
yahB,feoC,0.9999791383743286
alpA,glnG,0.9926458597183228
ybaO,decoy7,0.9986716508865356
rpsS,gutM,0.9773617386817932
rpsS,stpA,0.9991180300712585
sufC,rho,0.9978688955307007
yccW,ypdB,0.8456910848617554
ccmA,yiiE,0.9773833751678467
gapC,feoC,0.9999955892562866
mltD,decoy20,0.8702574372291565
yjgF,uxuR,0.9922284483909607
yfdF,yiiE,0.9925231337547302
ogrK,metJ,0.9864853620529175
rsxA,ulaR,0.9944973587989807
araE,frlR,0.9720444083213806
glgB,cspE,0.8401628732681274
glnQ,iscR,0.87059086561203
ecnA,idnR,0.9788877367973328
ftsK,decoy7,0.9983934760093689
ftsK,stpA,0.996113657951355
mdtJ,feoC,0.9999992847442627
ftsL,gcvA,0.888042151927948
symR,ybdO,0.9719895124435425
hyfB,uxuR,0.9929357171058655
hsdR,metJ,0.9970415234565735
hsdR,decoy7,0.9996963739395142
yggS,rho,0.9979448914527893
queC,rho,0.9935176372528076
cysE,cbl,0.9506120085716248
ompW,envR,0.879271388053894
yobF,uxuR,0.9885413646697998
aaaD,yciT,0.9999486207962036
cmtA,ulaR,0.9949215054512024
ygfZ,decoy7,0.9935420751571655
yjcS,ykgA,0.9974575638771057
viaA,ompR,0.826814591884613
xylF,malT,0.9461337327957153
yqeH,mntR,0.8529146909713745
ykfG,ulaR,0.9946408271789551
ydiJ,glnG,0.9920390844345093
idnO,frlR,0.9774848818778992
atpC,yeeY,0.9989211559295654
atpC,decoy7,0.9997147917747498
isrB,cbl,0.9544099569320679
decoy37,yeeY,0.9955493211746216
yqiJ,leuO,0.9905615448951721
yrbG,yidZ,0.9292343258857727
trkG,ulaR,0.9949308037757874
parC,yciT,0.9999246597290039
mutM,nikR,0.8466005921363831
mutM,feoC,0.9999971389770508
mutM,yahD,0.9377673268318176
mutM,stpA,0.9995105266571045
cysU,yneL,0.9507591724395752
fhuA,cbl,0.9357542991638184
eutT,feoC,0.9999845027923584
ygiH,stpA,0.9993889331817627
yfgF,rho,0.9945690631866455
hisF,aaeR,0.8028647303581238
yjgH,leuO,0.9987799525260925
ygbT,decoy7,0.9999386072158813
htpG,gutM,0.9364592432975769
htpG,decoy27,0.947060763835907
ilvC,yahD,0.9792152643203735
ilvC,stpA,0.9998226761817932
yjdL,feoC,0.9999819993972778
decoy82,hns,0.8453876972198486
aspS,leuO,0.9987468719482422
ygeG,ytfH,0.9701350331306458
ygeG,ydeM,0.9945842623710632
ydiV,feoC,0.9999853372573853
garD,feoC,0.9999845027923584
mdtK,decoy7,0.9987213015556335
yeaU,pspF,0.8504927158355713
yafZ,gutM,0.9325092434883118
yjjL,decoy27,0.9212654232978821
ybiO,nsrR,0.9143401980400085
ytfE,ybhD,0.8532710075378418
rutC,ykgA,0.979915976524353
decoy182,stpA,0.99874347448349
raiA,ykgA,0.9445400834083557
rbsC,ybhD,0.8097439408302307
glnB,ygaV,0.9703908562660217
glnB,yiiE,0.9735763072967529
gltK,yeeY,0.9992793202400208
ybbD,decoy7,0.9986233711242676
ybbD,leuO,0.9544298648834229
ypaB,decoy7,0.9984588623046875
nhoA,feoC,0.9998811483383179
nhoA,ulaR,0.9625385403633118
hisC,ygaV,0.9737480878829956
intF,evgA,0.9851033091545105
