Index,Gene_ID,Gene_Name,degree,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,clustering,load,degree_rank,in_degree_rank,out_degree_rank,betweenness_rank,closeness_rank,pagerank_rank,eigenvector_rank,clustering_rank,load_rank,composite_rank,composite_score
1643,G1643,uhpT,0.0008871146595697493,0.004366812227074236,0.375,6.6548358473824315e-06,0.0021638404871937803,0.001938339605831581,0.00047144739236284984,0.16666666666666666,0,69.0,70.0,62.0,2.0,26.0,20.0,8.0,134.0,1.0,43.55555555555556,1.0
186,G186,yjiE,0.001996007984031936,0.03056768558951965,0.25,0.0,0.0015524506542470614,0.0006859830337411664,5.916853524458511e-06,0.2222222222222222,0,25.0,29.0,152.0,5.0,30.0,39.0,34.0,131.0,1.0,49.55555555555556,0.9719188767550702
149,G149,aaeR,0.001996007984031936,0.03056768558951965,0.25,0.0,0.0015524506542470614,0.0009608823295876525,5.916853524458511e-06,0.1111111111111111,0,25.0,29.0,152.0,5.0,30.0,33.0,34.0,154.0,1.0,51.44444444444444,0.9630785231409257
257,G257,ycfQ,0.001996007984031936,0.03056768558951965,0.25,0.0,0.0015524506542470614,0.0006160346989888259,5.916853524458511e-06,0.08333333333333333,0,25.0,29.0,152.0,5.0,30.0,44.0,34.0,171.0,1.0,54.55555555555556,0.9485179407176287
281,G281,hns,0.0013306719893546241,0.013100436681222707,0.375,0.0,0.0006653359946773121,0.0004917042946778195,2.5434438227310356e-06,0.06666666666666667,0,42.0,48.0,62.0,5.0,50.0,58.0,53.0,174.0,1.0,54.77777777777778,0.9474778991159647
301,G301,hyfR,0.0017742293191394987,0.026200873362445413,0.25,0.0,0.0013306719893546241,0.0005609945895375775,5.073501099026644e-06,0.10714285714285714,0,32.0,36.0,152.0,5.0,37.0,49.0,41.0,155.0,1.0,56.44444444444444,0.9396775871034841
143,G143,ycaN,0.0013306719893546241,0.017467248908296942,0.25,0.0,0.0008871146595697493,0.0005639917399318102,3.386796248162905e-06,0.2,0,42.0,43.0,152.0,5.0,44.0,48.0,48.0,132.0,1.0,57.22222222222222,0.9360374414976599
195,G195,decoy20,0.0011088933244621866,0.013100436681222707,0.25,0.0,0.0006653359946773121,0.00038843809288910955,2.5434438227310356e-06,0.3,0,50.0,48.0,152.0,5.0,50.0,66.0,53.0,128.0,1.0,61.44444444444444,0.9162766510660427
331,G331,stpA,0.03082723442004879,0.6026200873362445,0.125,0.0,0.028621059219548106,0.0087948533980205,0.009815792266147762,0.011677614430194974,0,2.0,2.0,359.0,5.0,3.0,4.0,4.0,185.0,1.0,62.77777777777778,0.9100364014560582
21,G21,yciT,0.01641162120204036,0.31877729257641924,0.125,2.218278615794144e-06,0.018604141927116232,0.012839864699238774,0.07680271318325127,0.009255831173639394,0,5.0,5.0,359.0,4.0,5.0,3.0,3.0,186.0,1.0,63.44444444444444,0.9069162766510661
279,G279,leuO,0.00842758926591262,0.1615720524017467,0.125,4.436557231588288e-06,0.010169135413383759,0.006412254026641012,0.004719694676738321,0.017069701280227598,0,8.0,8.0,359.0,3.0,8.0,5.0,6.0,183.0,1.0,64.55555555555556,0.9017160686427457
