Index,Gene_ID,Gene_Name,degree,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,clustering,load,degree_rank,in_degree_rank,out_degree_rank,betweenness_rank,closeness_rank,pagerank_rank,eigenvector_rank,clustering_rank,load_rank,composite_rank,composite_score
127,G127,rpiR,0.017062766605728214,0.06179775280898876,0.75,7.317073170731708e-05,0.012730837506292558,0.003222695632070622,3.704039916420369e-08,0.09523809523809523,0,24.0,26.0,21.0,1.0,28.0,27.0,16.0,351.0,1.0,55.0,1.0
117,G117,rbsR,0.04143814747105424,0.18258426966292135,0.375,6.707317073170732e-05,0.03185419090355105,0.007922219376621992,0.00036460116039094324,0.0052677787532923615,0,11.0,11.0,211.0,2.0,12.0,14.0,6.0,383.0,1.0,72.33333333333333,0.9584
163,G163,zur,0.014015843997562463,0.056179775280898875,0.375,1.829268292682927e-05,0.012692609036301906,0.0034380630658160443,1.3048821589976757e-09,0.10276679841897234,0,26.0,28.0,211.0,15.0,29.0,25.0,29.0,320.0,1.0,76.0,0.9496
97,G97,araC,0.006093845216331505,0.016853932584269662,0.5,0.0,0.003656307129798903,0.0007461456122049839,1.2023381454514922e-12,0.28888888888888886,0,41.0,59.0,100.0,34.0,65.0,92.0,98.0,221.0,1.0,79.0,0.9424
89,G89,decoy11,0.004875076173065204,0.014044943820224719,0.375,1.2195121951219513e-05,0.003133977539827631,0.0007199124918170854,1.4010982378571287e-11,0.32142857142857145,0,50.0,67.0,211.0,20.0,71.0,94.0,65.0,212.0,1.0,87.88888888888889,0.9210666666666667
725,G725,cheZ,0.0036563071297989035,0.0028089887640449437,0.625,0.0,0.002742230347349177,0.001262335551629643,6.506406277778538e-10,0.06666666666666667,0,87.0,135.0,43.0,34.0,80.0,54.0,35.0,359.0,1.0,92.0,0.9112
21,G21,mntR,0.006703229737964656,0.02247191011235955,0.375,0.0,0.004936014625228519,0.0013369160710078522,1.461138757699878e-11,0.07272727272727272,0,39.0,44.0,211.0,34.0,47.0,50.0,59.0,356.0,1.0,93.44444444444444,0.9077333333333333
1616,G1616,feoB,0.0030469226081657527,0.0028089887640449437,0.5,0.0,0.001384964821893524,0.0008421416845290008,1.144974241149821e-09,0.2,0,121.0,135.0,100.0,34.0,119.0,79.0,30.0,225.0,1.0,93.77777777777777,0.9069333333333334
113,G113,melR,0.039609993906154786,0.17696629213483145,0.25,3.048780487804878e-05,0.029859841560024376,0.00753625189097616,0.00036457879789905803,0.0057692307692307696,0,13.0,13.0,414.0,6.0,14.0,15.0,7.0,382.0,1.0,96.11111111111111,0.9013333333333333
949,G949,cyoE,0.0036563071297989035,0.0028089887640449437,0.625,3.048780487804878e-05,0.0006093845216331506,0.0003792820644743262,2.0166281473900463e-13,0.4666666666666667,0,87.0,135.0,43.0,6.0,151.0,222.0,151.0,100.0,1.0,99.55555555555556,0.8930666666666667
11,G11,modE,0.02193784277879342,0.09550561797752809,0.25,2.4390243902439026e-05,0.023208109105578013,0.0070512360484783106,7.873328779531781e-10,0.006349206349206349,0,18.0,18.0,414.0,9.0,17.0,16.0,32.0,380.0,1.0,100.55555555555556,0.8906666666666667
894,G894,entB,0.0036563071297989035,0.0028089887640449437,0.625,0.0,0.0030469226081657527,0.0006330079931270731,6.636494070771157e-10,0.0,0,87.0,135.0,43.0,34.0,74.0,110.0,34.0,389.0,1.0,100.77777777777777,0.8901333333333333
124,G124,decoy3,0.014015843997562463,0.05898876404494382,0.25,1.2195121951219513e-05,0.0159428166740781,0.0028825072848495423,9.874850304359805e-07,0.07905138339920949,0,26.0,27.0,414.0,20.0,25.0,30.0,11.0,355.0,1.0,101.0,0.8896
137,G137,cytR,0.0042656916514320535,0.014044943820224719,0.25,0.0,0.0030469226081657527,0.0009216877401781903,1.002203079308993e-12,0.3333333333333333,0,70.0,67.0,414.0,34.0,74.0,75.0,100.0,105.0,1.0,104.44444444444444,0.8813333333333333
177,G177,acrR,0.0030469226081657527,0.0056179775280898875,0.375,0.0,0.0013711151736745886,0.00042912875738487967,1.3410577180143798e-11,0.5,0,121.0,111.0,211.0,34.0,120.0,179.0,73.0,91.0,1.0,104.55555555555556,0.8810666666666667
908,G908,proM,0.002437538086532602,0.0028089887640449437,0.375,1.829268292682927e-05,0.0008125126955108674,0.0007766817097889523,1.3210442114001302e-11,0.5,0,195.0,135.0,211.0,15.0,142.0,87.0,75.0,91.0,1.0,105.77777777777777,0.8781333333333333
1290,G1290,phnL,0.0030469226081657527,0.0028089887640449437,0.5,0.0,0.0006093845216331506,0.00043025570087063604,2.0166281473900463e-13,0.4,0,121.0,135.0,100.0,34.0,151.0,172.0,151.0,102.0,1.0,107.44444444444444,0.8741333333333333
99,G99,gadW,0.01157830591102986,0.047752808988764044,0.25,0.0,0.0103360990015469,0.0016186703686787752,6.018076716390841e-10,0.09941520467836257,0,29.0,31.0,414.0,34.0,33.0,42.0,36.0,350.0,1.0,107.77777777777777,0.8733333333333333
148,G148,decoy4,0.0030469226081657527,0.0056179775280898875,0.375,0.0,0.001218769043266301,0.0004659348724416877,4.017978808815015e-13,0.5,0,121.0,111.0,211.0,34.0,122.0,156.0,132.0,91.0,1.0,108.77777777777777,0.8709333333333333
61,G61,decoy5,0.0036563071297989035,0.008426966292134831,0.375,0.0,0.0018281535648994515,0.0005942811299435084,6.019329470239988e-13,0.26666666666666666,0,87.0,93.0,211.0,34.0,101.0,119.0,118.0,222.0,1.0,109.55555555555556,0.8690666666666667
150,G150,dcuR,0.0036563071297989035,0.011235955056179775,0.25,0.0,0.002437538086532602,0.0008298970503167673,8.020680131664957e-13,0.3333333333333333,0,87.0,77.0,414.0,34.0,84.0,81.0,105.0,105.0,1.0,109.77777777777777,0.8685333333333334
154,G154,atoC,0.009140767824497258,0.03651685393258427,0.25,0.0,0.007617306520414382,0.0016661429184410058,5.749895727759903e-10,0.06666666666666667,0,34.0,35.0,414.0,34.0,38.0,40.0,38.0,359.0,1.0,110.33333333333333,0.8672
120,G120,crp,0.007921998781230958,0.03089887640449438,0.25,1.2195121951219513e-05,0.006865732277066829,0.001751954094305323,2.8220572074688623e-11,0.05128205128205128,0,36.0,37.0,414.0,20.0,39.0,38.0,49.0,365.0,1.0,111.0,0.8656
184,G184,hyfR,0.0042656916514320535,0.014044943820224719,0.25,6.0975609756097564e-06,0.0035455099440474215,0.0008156173280551705,4.002854097709599e-11,0.19047619047619047,0,70.0,67.0,414.0,26.0,67.0,83.0,46.0,247.0,1.0,113.44444444444444,0.8597333333333333
193,G193,zraR,0.0042656916514320535,0.014044943820224719,0.25,6.0975609756097564e-06,0.0035455099440474215,0.0012030285097750562,4.002854097709599e-11,0.14285714285714285,0,70.0,67.0,414.0,26.0,67.0,57.0,46.0,302.0,1.0,116.66666666666667,0.852
1120,G1120,uvrY,0.0036563071297989035,0.0028089887640449437,0.625,0.0,0.0006093845216331506,0.00035361089767263937,2.0166281473900463e-13,0.2,0,87.0,135.0,43.0,34.0,151.0,248.0,151.0,225.0,1.0,119.44444444444444,0.8453333333333334
1320,G1320,paaE,0.0036563071297989035,0.0028089887640449437,0.625,0.0,0.0006093845216331506,0.0003516685405653127,2.0166281473900463e-13,0.2,0,87.0,135.0,43.0,34.0,151.0,253.0,151.0,225.0,1.0,120.0,0.844
