Gene_ID,Gene_Name,degree,betweenness,pagerank,composite_score
G127,rpiR,0.017062766605728214,7.317073170731708e-05,0.003222695632070622,1.0
G117,rbsR,0.04143814747105424,6.707317073170732e-05,0.007922219376621992,0.9584
G163,zur,0.014015843997562463,1.829268292682927e-05,0.0034380630658160443,0.9496
G97,araC,0.006093845216331505,0.0,0.0007461456122049839,0.9424
G89,decoy11,0.004875076173065204,1.2195121951219513e-05,0.0007199124918170854,0.9210666666666667
G725,cheZ,0.0036563071297989035,0.0,0.001262335551629643,0.9112
G21,mntR,0.006703229737964656,0.0,0.0013369160710078522,0.9077333333333333
G1616,feoB,0.0030469226081657527,0.0,0.0008421416845290008,0.9069333333333334
G113,melR,0.039609993906154786,3.048780487804878e-05,0.00753625189097616,0.9013333333333333
G949,cyoE,0.0036563071297989035,3.048780487804878e-05,0.0003792820644743262,0.8930666666666667
G11,modE,0.02193784277879342,2.4390243902439026e-05,0.0070512360484783106,0.8906666666666667
G894,entB,0.0036563071297989035,0.0,0.0006330079931270731,0.8901333333333333
G124,decoy3,0.014015843997562463,1.2195121951219513e-05,0.0028825072848495423,0.8896
G137,cytR,0.0042656916514320535,0.0,0.0009216877401781903,0.8813333333333333
G177,acrR,0.0030469226081657527,0.0,0.00042912875738487967,0.8810666666666667
G908,proM,0.002437538086532602,1.829268292682927e-05,0.0007766817097889523,0.8781333333333333
G1290,phnL,0.0030469226081657527,0.0,0.00043025570087063604,0.8741333333333333
G99,gadW,0.01157830591102986,0.0,0.0016186703686787752,0.8733333333333333
G148,decoy4,0.0030469226081657527,0.0,0.0004659348724416877,0.8709333333333333
G61,decoy5,0.0036563071297989035,0.0,0.0005942811299435084,0.8690666666666667
G150,dcuR,0.0036563071297989035,0.0,0.0008298970503167673,0.8685333333333334
G154,atoC,0.009140767824497258,0.0,0.0016661429184410058,0.8672
G120,crp,0.007921998781230958,1.2195121951219513e-05,0.001751954094305323,0.8656
G184,hyfR,0.0042656916514320535,6.0975609756097564e-06,0.0008156173280551705,0.8597333333333333
G193,zraR,0.0042656916514320535,6.0975609756097564e-06,0.0012030285097750562,0.852
G1120,uvrY,0.0036563071297989035,0.0,0.00035361089767263937,0.8453333333333334
G1320,paaE,0.0036563071297989035,0.0,0.0003516685405653127,0.844
G56,decoy16,0.005484460694698355,6.0975609756097564e-06,0.0010692884423261545,0.8394666666666667
G159,hdfR,0.004875076173065204,0.0,0.001029164382511132,0.8333333333333334
G542,ansB,0.0018281535648994518,3.048780487804878e-05,0.0007595646992507546,0.8322666666666667
G1416,fimE,0.0036563071297989035,0.0,0.0005591792852398851,0.8301333333333334
G913,entD,0.0030469226081657527,0.0,0.0003794776123170188,0.8282666666666667
G47,decoy17,0.0042656916514320535,0.0,0.0009779419807524894,0.8274666666666667
G30,dicA,0.005484460694698355,1.2195121951219513e-05,0.000840268997357581,0.8274666666666667
G618,sgbE,0.0030469226081657527,0.0,0.0003671318236047288,0.8261333333333334
G1076,dppA,0.0030469226081657527,0.0,0.00033885243191572026,0.8210666666666667
G278,rtcB,0.0042656916514320535,0.0,0.0003603504883801018,0.8200000000000001
G1638,fliR,0.0030469226081657527,0.0,0.00043517640448718404,0.8181333333333334
G169,hupA,0.10298598415600245,5.4878048780487806e-05,0.04438727784645633,0.8178666666666667
G134,leuO,0.06703229737964655,5.4878048780487806e-05,0.020333614261994436,0.8146666666666667
G139,nikR,0.10115783059110299,2.4390243902439026e-05,0.017555691353338888,0.8144
G1503,seqA,0.002437538086532602,0.0,0.0003767144578568173,0.8096
G1581,dmsC,0.002437538086532602,0.0,0.00036636077542692827,0.808
G1,tyrR,0.0030469226081657527,0.0,0.00043078343155551025,0.8064
G174,dhaR,0.05362583790371725,1.829268292682927e-05,0.00800390607139509,0.8061333333333334
G1471,scpB,0.0030469226081657527,0.0,0.0003845518215281922,0.8048
G390,hycE,0.002437538086532602,0.0,0.0003327074561711209,0.8037333333333334
G76,exuR,0.04021937842778794,2.134146341463415e-05,0.015751897210799184,0.8034666666666667
G561,scpA,0.002437538086532602,0.0,0.0004213655540676517,0.8024
G769,flgN,0.0030469226081657527,0.0,0.00037746519635087046,0.8018666666666667
