Index,Gene_ID,Gene_Name,degree,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,clustering,load,degree_rank,in_degree_rank,out_degree_rank,betweenness_rank,closeness_rank,pagerank_rank,eigenvector_rank,clustering_rank,load_rank,composite_rank,composite_score
110,G110,YBL103C,0.012777404169468728,0.43529411764705883,0.16666666666666666,1.0089120564990752e-05,0.01527654083134917,0.005163104362680096,0.03074730355077165,0.0035087719298245615,0,9.0,9.0,302.0,1.0,8.0,13.0,6.0,128.0,1.0,53.0,1.0
12,G12,YLR223C,0.004539340954942838,0.1411764705882353,0.25,0.0,0.00404143603538358,0.0008693025210942998,3.7840399011013395e-05,0.05413105413105413,0,41.0,43.0,156.0,11.0,44.0,62.0,41.0,91.0,1.0,54.44444444444444,0.9966572383646182
141,G141,YBL005W,0.008574310692669805,0.28823529411764703,0.16666666666666666,6.726080376660501e-06,0.010467914911690794,0.004521856058847985,0.0010633617455819725,0.01568627450980392,0,21.0,22.0,302.0,3.0,14.0,15.0,17.0,115.0,1.0,56.666666666666664,0.9915145281563384
296,G296,YML027W,0.010255548083389375,0.34705882352941175,0.16666666666666666,3.3630401883302504e-06,0.009922056732115492,0.005064749660536612,5.790370092827635e-05,0.003825136612021858,0,12.0,14.0,302.0,4.0,16.0,14.0,33.0,126.0,1.0,58.0,0.9884289020313706
23,G23,YJL176C,0.0013449899125756557,0.029411764705882353,0.25,1.6815200941651252e-06,0.0017022528581035641,0.0009448527280330667,0.000957886101216948,0.03571428571428571,0,85.0,83.0,156.0,7.0,67.0,55.0,18.0,106.0,1.0,64.22222222222223,0.9740293134481872
134,G134,YIR013C,0.005884330867518494,0.19411764705882353,0.16666666666666666,3.3630401883302504e-06,0.005552886924776635,0.0017400881148612525,4.299953378973813e-05,0.013445378151260505,0,32.0,35.0,302.0,4.0,34.0,39.0,37.0,116.0,1.0,66.66666666666667,0.9683723322190795
156,G156,YJR140C,0.00554808338937458,0.18235294117647058,0.16666666666666666,0.0,0.005252730874788709,0.00203317465705768,9.000498399589838e-05,0.003787878787878788,0,36.0,36.0,302.0,11.0,36.0,34.0,27.0,127.0,1.0,67.77777777777777,0.9658009771149396
4713,G4713,YJL207C,0.0011768661735036988,0.0058823529411764705,0.5,0.0,0.00016812373907195696,0.00023910380048818144,5.799811646671088e-07,0.047619047619047616,0,95.0,100.0,32.0,11.0,103.0,97.0,103.0,92.0,1.0,70.44444444444444,0.9596297248650039
293,G293,YPL082C,0.0015131136516476126,0.03529411764705882,0.25,0.0,0.0010087424344317419,0.0003384394172255555,3.4461671528475886e-06,0.1111111111111111,0,76.0,79.0,156.0,11.0,82.0,92.0,84.0,53.0,1.0,70.44444444444444,0.9596297248650039
170,G170,YDR213W,0.004707464694014795,0.15294117647058825,0.16666666666666666,0.0,0.004371217215870881,0.0014590908175293516,1.4910911105569535e-05,0.0291005291005291,0,38.0,40.0,302.0,11.0,41.0,44.0,58.0,111.0,1.0,71.77777777777777,0.956544098740036
294,G294,YOR077W,0.0015131136516476126,0.03529411764705882,0.25,8.407600470825626e-06,0.0010087424344317419,0.00037008124380233425,3.4461671528475886e-06,0.027777777777777776,0,76.0,79.0,156.0,2.0,82.0,89.0,84.0,112.0,1.0,75.66666666666667,0.9475443558755464
64,G64,YFL052W,0.0011768661735036988,0.0058823529411764705,0.5,0.0,0.00016812373907195696,0.00016510402890316335,5.799811646671088e-07,0.047619047619047616,0,95.0,100.0,32.0,11.0,103.0,157.0,103.0,92.0,1.0,77.11111111111111,0.9442015942401646
3512,G3512,YJL194W,0.0010087424344317419,0.0058823529411764705,0.4166666666666667,0.0,0.00016812373907195696,0.0002391038004881814,5.799811646671088e-07,0.06666666666666667,0,115.0,100.0,64.0,11.0,103.0,128.0,103.0,75.0,1.0,77.77777777777777,0.9426587811776806
243,G243,YCR097W,0.0010087424344317419,0.01764705882352941,0.25,0.0,0.0005043712172158709,0.000402171106766524,1.7264555599392998e-06,0.0,0,115.0,88.0,156.0,11.0,90.0,87.0,91.0,138.0,1.0,86.33333333333333,0.9228593468758035
253,G253,YDR397C,0.0008406186953597847,0.0058823529411764705,0.3333333333333333,0.0,0.00016812373907195696,0.00014305126167397703,5.799811646671088e-07,0.1,0,149.0,100.0,93.0,11.0,103.0,168.0,103.0,55.0,1.0,87.0,0.9213165338133196
3270,G3270,YMR038C,0.0006724949562878278,0.0058823529411764705,0.25,0.0,0.00022416498542927594,0.00033201413251195,2.465594346538314e-05,0.0,0,182.0,100.0,156.0,11.0,102.0,93.0,54.0,138.0,1.0,93.0,0.9074312162509642
